,job description,startup description,label,justification
167,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",KIMO is an AI firm focused on personalized education. We map knowledge domains and calculate optimal journeys through those domains. Kimo is a venture focused on smart education in Amsterdam. Our team is focused on auto-generating individual learning paths through all online content - where the end goal is truly personalized learning paths.,True,Personalized learning journey mapping can support differentiation and IEP-aligned goals in early years.
168,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",Machine26 makes trading of used construction machinery efficient and safe.,False,Machine26 helps trade used construction machinery and does not support selling insurance or connecting clients with brokers.
169,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.","Humanising Autonomy is a predictive AI startup that creates the global standard for human-machine interaction. Human behaviour is at the heart of urban mobility ecosystems, according to us. Every relationship we form improves the safety of the cityscape for walkers, cyclists, commuters, and vehicles.
Across many business categories, we enable natural interaction between automated technologies and people in any context. We're teaching machines how to read our visual signals and what they could indicate in any city or moment. We want technology to be able to recognise our actions and intents and respond appropriately.",True,"Humanising Autonomy predicts human behavior for urban mobility, helping anticipate pedestrian actions at crossings."
170,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","Liopa is a developer of Visual Speech Recognition (VSR) technology, which deciphers speech through video by analysing discrete lip movements.

Our VSR technology is the product of over 50 man-years of research and utilises a combination of highly innovative techniques to track & extract speaker lip movements and an AI-Engine that combines a number of state-of-the-art modelling techniques and Deep Neural Networks to derive the words spoken by the subject.",True,Visual Speech Recognition (lip-reading) can support D/HH learners and multimodal speech practice in early years.
171,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Worcon is an online manufacturing marketplace, a B2B manufacturing platform, and an industry magazine connecting industry buyers with suppliers in the manufacturing industry.",False,Manufacturing marketplace; procurement/sales matching rather than internal ops management.
172,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","HumanITcare is an AI-based solution that gathers insightful data and generates smart alarms for health care professionals or caregivers in real-time based on the tailored needs of the patient’s chronic condition. 
We are a multidisciplinary team of developers, designers, product owners, healthcare professionals and business & marketing analysts. Together we provide real-time, reliable, and quality health data to improve clinical outcomes.
HumanITcare is the first CE Certified software that can easily integrate through an API model that connects medical devices.",True,HumanITcare integrates medical devices via API and provides real-time monitoring — directly supporting health informatics and nurse workflows.
173,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.","At Vivacity, our vision is to make cities smarter, safer and more sustainable. Our AI sensors and ‘Smart Junctions’ signal control gather detailed and anonymous data 24/7 on transport modes, traffic flow and travel patterns, supporting strategic decisions to help optimise the transport network and improve urban infrastructure.

Vivacity was awarded the Queen’s Enterprise Award for Innovation in 2021, and our sensors have been deployed in over 60 towns and cities across the UK - with international growth well underway.",True,Vivacity Labs’ AI sensors and Smart Junctions directly optimize intersections and pedestrian safety.
174,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","Goodbye spreadsheets, hello predictive AI. We've helped retailers worldwide gain +18% margin on average with our promotion optimization software Discount by Differs.",False,"Discount by Differs develops promotion optimization and predictive AI for retail margins; it does not support fundamental physical research, theory development, or experimental physics."
175,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","Pioneering in Localization 
LaterationXYZ is a young and forward-thinking company that has already set new standards in the field of localization.",False,LaterationXYZ focuses on localization technologies and has no connection to insurance product sales or brokerage.
176,Control or operate entire chemical processes or system of machines.,KIMO is an AI firm focused on personalized education. We map knowledge domains and calculate optimal journeys through those domains. Kimo is a venture focused on smart education in Amsterdam. Our team is focused on auto-generating individual learning paths through all online content - where the end goal is truly personalized learning paths.,False,KIMO creates personalized education paths and does not provide solutions for controlling or operating chemical processes or machine systems.
177,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","Luca's learning platform provides learning programs for primary and secondary Spanish Speaking Latin American school students. The learning platform offers pre-recorded K12 videos, gamified content and AI powered personalized study paths, covering the entire official academic curriculum and national exams prep. Luca is a VC backed startup with HQ in Mexico City, Lisbon & Madrid. Luca Learning Systems, SL is an educational platform that provides accompaniment of official studies for elementary schools and colleges.",True,"Luca provides curriculum-based personalized learning for K12 students, directly relevant to educational functioning."
178,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",We are working towards a world in which every kitchen is able to offer its customers sustainably sourced food.,False,"This startup works on sustainable food sourcing for kitchens but does not perform or support biochemical research on cellular metabolism, growth, or the effects of substances on living organisms."
179,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","On a mission to replace 20 % surveys with instant insight by 2030, saving $30B and 35B hours globally each year.B2B, SaaS, AI, deep-tech, female-founded, CEE.",False,This platform replaces surveys with automated insights but is unrelated to selling insurance or supporting brokers.
180,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","Asistobe is a forward-thinking tech company redefining public transport planning through big data and artificial intelligence (AI).Asistobe is a forward-thinking tech company redefining public transport planning through big data and artificial intelligence (AI). We are dedicated to supporting city planners as they anticipate future transport needs, shifting from a reactive to a predictive planning paradigm.Our software-as-a-service (SaaS) aligns transport plans with real transport demand by combining mobile network data, demographic information, and historical data through advanced AI algorithms to transform raw figures into actionable insights.With Asistobe, planners can make more informed and assertive choices and develop intelligent, cost-effective, sustainable multimodal transport solutions.Join us on this transformative journey to turn valuable information into effective public transport planning, leading to better cities and happier citizens.",True,Public transport planning SaaS for planners—direct support for planning/coordination.
181,"Assist patients in obtaining services, understanding policies and making health care decisions.","Feebris is a team combines expertise in biomedical engineering, machine learning, global health and business. More importantly, they are unreasonably passionate about our vision to transform healthcare globally and make it equitable, personalised and patient-driven. Feebris is an AI-powered mobile platform for community-based diagnosis & monitoring. We want to see a world where no one suffers from treatable conditions simply because they cannot access a doctor. We are working to bring AI-powered monitoring and diagnosis to accelerate treatment access to every home around the world.",True,Feebris enables community diagnosis/monitoring and faster access to care.
182,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","Swavy automates most of the steps required to launch a successful creator marketing campaign. This becomes invaluable when collaborating with large cohorts of micro-creators, which is what we specialize in.",False,"Swavy is focused on creator marketing automation and does not deal with cyber intrusion forensics, digital evidence preservation, or vulnerability analysis."
183,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",Tasklane is an AI-powered ecosystem that leverages decades of industry expertise to revolutionize the global property management landscape.,False,Tasklane focuses on property management process automation and does not support legislative development or help elected officials draft or enact laws.
184,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",A smarter way to discover and organize knowledge through neural search and generative AI.,False,"This neural search and generative AI platform is focused on organizing knowledge and documents; it is not designed for experimental biochemistry, cell biology, or studying the effects of substances on organisms."
185,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","What can you expect?Explore our range of carefully selected assignments, designed to challenge and stimulate your intellectual growth.",False,"Educational assignments platform, no relation to microbiology research."
186,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","Globally, a notable proportion of newborns are afflicted with concealed genetic conditions, impacting their long-term health.",False,Genetic condition detection in newborns; not farming-related.
187,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",Orbit Health focuses on developing an artificial intelligence solution to enable the effective personalization of treatment for Parkinson’s. Orbit Health focuses on developing an artificial intelligence solution to enable the effective personalization of treatment for Parkinson’s disease. One in two adults in the world suffers from one or more chronic diseases.,False,"Orbit Health develops AI personalization for Parkinson’s disease treatment. Focuses on therapy, not fitness coaching."
188,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Neobrain develops intuitive digital solutions to help people manage their careers in a changing world. Career management, recruitment, integrating Artificial Intelligence in support of people to focus on core business.",False,"Career management HR suite; HR-specific, not general org operations."
189,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.","Emitwise’s unique AI technology empowers companies to automatically measure, report, and reduce their carbon footprint across their operations and supply chain, future-proofing businesses for a zero-carbon world.

We are backed by top Silicon Valley investors and trusted by leading global businesses.",True,Carbon measurement/reduction across operations and supply chain—core to sustainable procurement.
190,Control or operate entire chemical processes or system of machines.,OQmented is a deep tech startup developing and selling the most advanced MEMS mirror and laser scanning technologies available on the market today. The company is a German pioneer in AR/VR Display and 3D Sensing Solutions making the notion of smart glasses replacing the smartphone more real. The organisation disruption and augmentation are enabled by a miniature laser scanning device.,False,"OQmented develops MEMS mirrors and laser scanning for AR/VR and sensing, not for chemical process control or operation."
191,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","ELWAVE develops and markets disruptive real-time 360° detection solutions for subsea and industrial robotics.
ELWAVE solutions are based on the """"electric sense"""" technology, a unique biomimicry innovation.",False,ELWAVE develops detection technology for subsea and robotics; it is unrelated to selling or brokering insurance products.
192,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","We’re a small Danish digital health company with 6 years of remote patient monitoring track record and a Ai model in clinical trial to predict COPD exacerbations.

We’re looking for funding to help fast-track the development of more Ai model from our data set.",True,Danish digital health RPM platform with AI for COPD—directly supports integrated monitoring and care team workflows.
193,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",Consulting and development services in Artificial Intelligence and Data Science,False,General AI consulting and development services are not specialized for physical therapy or rehabilitation planning.
194,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.","For finance professionals seeking an in-depth understanding of an unfamiliar industry, Comparables.ai provides an AI-augmented platform for effective and intelligent analysis. Unlike traditional data providers, Comparables.ai builds personalized recommendations based on the user's intent and thousands of expert opinions. Build your analysis on top of global intelligence, discover comparable companies.",True,Comparables.ai is designed for finance pros to find comps and analyze industries.
195,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.",Amberscript creates software-as-a-service solutions that allow customers to convert audio and video into text and subtitles using voice recognition. Customers' data is used by the company to develop voice recognition algorithms in European languages. The text converted is 100% accurate due to Amberscript's online text editor and human transcribers.,False,"Amberscript works on speech-to-text transcription, unrelated to microbiology."
196,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Fiskl is a global financial management and accounting platform that employs artificial intelligence (AI) to reinvent the financial stack for small businesses.Fiskl is AI-powered, modern accounting software, built for small business owners and their teams. The mobile and web platform brings all business finances in one app: invoices, payments, estimates, expenses, products and services, time and mileage tracking, banking transactions & automated accounting. Used by small businesses in over 200 countries and a variety of industries, Fiskl makes it easy to invoice clients and take payments in over 60 languages and 170 currencies. With 21,000 banks connected globally, unparalleled dynamic FX and ledger management, and modern, AI-enabled accounting stack, Fiskl is at the leading edge of automated financial technology.
 
Our partners include some of the world’s largest financial institutions, global payment providers, mobile operators, and financial services providers (JP Morgan Chase, Revolut, BMO, Vodacom, Samsung, Stripe, Visa, Nexi, and more). 
 
Fiskl has won Accounting Tech of the Year at the Europe Fintech Awards in 2023 and 2022, Visa Everywhere Europe in 2021 and is ranked at #14 in the top 50 UK fintechs.",True,AI accounting/finance platform supports planning and coordination of day-to-day business ops.
197,"Assist patients in obtaining services, understanding policies and making health care decisions.","At ThinkSono, we are committed to removing the barriers to universal ultrasound access. We are working towards a world where ultrasound diagnosis can be provided safely at the point of care by any healthcare professional. Our first application AutoDVT enables any healthcare professional to detect deep vein thrombosis (DVT) at the point of care in as little as 5 minutes.",False,"AutoDVT is a clinician diagnostic tool, not patient assistance."
198,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",Supercharge your ESG analysis and research with AI.,False,"Supercharging ESG analysis is relevant to sustainability and finance, not to drama, music, or fine arts teaching."
199,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","Sie möchten im Alter so lange wie möglich selbstständig bleiben? Mit Comii bieten wir Ihnen ein grosses Netzwerk an Alltagshelfern, die Ihnen schnell und kostengünstig helfen können - falls im Alltag das eine oder andere Hindernis auftauchen sollte.Sie möchten im Alter so lange wie möglich selbstständig bleiben? Mit Comii bieten wir Ihnen ein grosses Netzwerk an Alltagshelfern, die Ihnen schnell und kostengünstig helfen können - falls im Alltag das eine oder andere Hindernis auftauchen sollte.",False,"Comii provides elder support, not agricultural assistance."
